molecule_chembl_id,canonical_smiles,standard_relation,standard_units,standard_value,standard_type,units,value,strain
MB366,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,=,nM,5260,IC50,uM,5.26,3D7
MB367,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OC)C(OC)=C2,=,nM,7290,IC50,uM,7.29,3D7
MB368,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(O)C=C2,=,nM,9430,IC50,uM,9.43,3D7
MB369,O=C(/C=C/C1=CC=C(OCC#C[H])C(OC)=C1)C2=CC=C(OC)C=C2,=,nM,13500,IC50,uM,13.5,Dd2
MB370,O=C(/C=C/C1=CC=C(OCC#C[H])C(OC)=C1)C2=CC=C(OC)C=C2OC,=,nM,4300,IC50,uM,4.3,Dd2
MB371,O=C(/C=C/C1=CC=C(OCC#C[H])C(OC)=C1)C2=CC=C(OC)C(OC)=C2OC,=,nM,2800,IC50,uM,2.8,Dd2
MB372,O=C(/C=C/C1=CC=C(OC)C=C1OC)C2=CC=C(OCC#C[H])C(OC)=C2,=,nM,14500,IC50,uM,14.5,Dd2
MB373,O=C(/C=C/C1=CC=C(OC)C(OC)=C1OC)C2=CC=C(OCC#C[H])C(OC)=C2,=,nM,2400,IC50,uM,2.4,Dd2
MB374,O=C(/C=C/C1=CC=C(Cl)C=C1Cl)C2=CC=C(OCC#C[H])C(OC)=C2,=,nM,2800,IC50,uM,2.8,Dd2
MB375,O=C(/C=C/C1=CC=C(F)C=C1)C2=CC=C(OCC#C[H])C(OC)=C2,=,nM,7700,IC50,uM,7.7,Dd2
MB376,O=C(/C=C/C1=CC=C(F)C=C1F)C2=CC=C(OCC#C[H])C(OC)=C2,=,nM,5200,IC50,uM,5.2,Dd2
MB377,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(/C=C/C(C5=CC=C(OC)C=C5)=O)C=C4OC)=C3)C2)=O,=,nM,6100,IC50,uM,6.1,Dd2
MB378,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(/C=C/C(C5=CC=C(OC)C=C5OC)=O)C=C4OC)=C3)C2)=O,=,nM,4400,IC50,uM,4.4,Dd2
MB379,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(/C=C/C(C5=CC=C(OC)C(OC)=C5OC)=O)C=C4OC)=C3)C2)=O,=,nM,3700,IC50,uM,3.7,Dd2
MB380,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2,=,nM,2200,IC50,uM,2.2,Dd2
MB381,O=C(C1=CC=C(OC)C=C1OC)/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2,=,nM,70,IC50,uM,0.07,Dd2
MB382,O=C(C1=CC=C(OC)C(OC)=C1OC)/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2,=,nM,400,IC50,uM,0.4,Dd2
MB383,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(OC)C=C5OC)=O)C=C4OC)=C3)C2)=O,=,nM,11800,IC50,uM,11.8,Dd2
MB384,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(OC)C(OC)=C5OC)=O)C=C4OC)=C3)C2)=O,=,nM,3800,IC50,uM,3.8,Dd2
MB385,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(Cl)C=C5Cl)=O)C=C4OC)=C3)C2)=O,=,nM,1900,IC50,uM,1.9,Dd2
MB386,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(F)C=C5)=O)C=C4OC)=C3)C2)=O,=,nM,6100,IC50,uM,6.1,Dd2
MB387,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(F)C=C5F)=O)C=C4OC)=C3)C2)=O,=,nM,4800,IC50,uM,4.8,Dd2
MB388,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(OC)C=C5OC,=,nM,11700,IC50,uM,11.7,Dd2
MB389,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(OC)C(OC)=C5OC,=,nM,300,IC50,uM,0.3,Dd2
MB390,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(Cl)C=C5Cl,=,nM,1900,IC50,uM,1.9,Dd2
MB391,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(F)C=C5,=,nM,1600,IC50,uM,1.6,Dd2
MB392,FC1=CC=C(C(/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2)=O)C(F)=C1,=,nM,2100,IC50,uM,2.1,Dd2
